"Player Name", "World", "Combat Level", "Time In MS",
t0ss pot,395,122,1566935124640,
T0 Edge,306,73,1566935910064,
Gk_Chee,444,49,1566936204554,
basjeje,523,101,1566937605472,
Mr Killa,342,66,1566938703025,
im mercen4ri,377,99,1566938712166,
Wigmaker,365,94,1566938765296,
Ch0uFleur,494,111,1566939808365,
Ch0uFleur,338,111,1566940798430,
basjeje,377,101,1566941108288,
SirBrandor,341,107,1566941653251,
BringYouPain,388,76,1566942485243,
Krolewna1337,520,77,1567011406996,
rpm,515,83,1567011445270,
rprn,495,80,1567011476625,
24AM,322,119,1567011818971,
AMozillaFox,319,61,1567013192738,
TO GHOST,424,83,1567013763838,
braytonholy,496,100,1567013992488,
Murder OMM,330,122,1567025763535,
F3ARthyrange,446,52,1567025957724,
Shezzzzza,521,106,1567025987643,
period pooh,314,43,1567026669746,
Lautreckt,313,73,1567027873367,
Tem-IziZouns,314,102,1567028062917,
AMozillaFox,390,61,1567029011666,
A Texan,354,100,1567029893045,
OakMusic,491,42,1567029942748,
tarbzz,310,123,1567030125711,
NORKXKXKXKKX,334,100,1567030407100,
DoFangle,306,91,1567030906641,
DoFangle,319,91,1567031027245,
Beer With Me,307,126,1567032283047,
imnotabait,466,123,1567032663005,
Mobile_Pker9,520,68,1567033156828,
Super Spank,522,104,1567033210256,
Mobile_Pker9,444,68,1567033529718,
Mobile_Pker9,368,68,1567033598998,
Super Spank,465,104,1567034018239,
O B E Y SR,320,88,1567096962190,
Sugamour,516,46,1567096970098,
B0O00O0OO00M,322,77,1567097437965,
Remedial,375,111,1567097534605,
Remedial,376,111,1567098658507,
Hermit Jack,356,83,1567099105755,
79jacobM,352,74,1567099451392,
Majorashour,305,85,1567099572018,
Skipidu,388,38,1567101737788,
toxicallday,519,73,1567102398084,
West florida,313,68,1567103959097,
wreck ralph,519,104,1567105125794,
CLAP GANGhrb,524,79,1567106568942,
The Lorg,524,81,1567106568954,
el_gorila007,464,74,1567106576226,
isodomgoat,376,14,1567192233102,
Mossiot,358,68,1567193386451,
Teicu,520,101,1567194441938,
Mossiot,374,68,1567194504733,
gotchyanow,330,40,1567194511584,
Teicu,495,101,1567194562882,
jes957,389,86,1567195389178,
Bort theGarj,330,42,1567195396590,
Meet God,314,81,1567195434086,
drakespro,351,64,1567196811158,
Reedis96,524,87,1567198284313,
ChungusBungs,517,63,1567198373819,
p 0 o p 0 o,386,77,1567198455473,
0o_yahweh_o0,337,79,1567202518147,
p 0 o p 0 o,320,77,1567204317033,
skiu_21,302,79,1567204368378,
OTP SYXDRAXx,305,91,1567208837888,
MrWeed Lt,520,98,1567209135877,
cooldogmen95,382,90,1567210778721,
D0uEVEN_RS,311,70,1567260165806,
Mossiot,360,69,1567262001709,
Cubase,357,120,1567266524532,
Jonko lover,357,124,1567266524535,
Epiic Lepsy,421,101,1567266555390,
Parmesanchiz,464,90,1567266592604,
help 1 def,377,67,1567268436130,
wheresmym0m,303,75,1567268901217,
wheresmym0m,303,75,1567269556611,
disp30,378,32,1567269794750,
RotiJunction,377,125,1567269799058,
Venkat,377,90,1567269799061,
RotiJunction,377,125,1567269800522,
Venkat,377,90,1567269800534,
Faka Neef,360,114,1567269807096,
Bokurisan,360,76,1567269807109,
Faka Neef,360,114,1567269808520,
Bokurisan,360,76,1567269808537,
disp30,358,32,1567270537544,
Mago93,333,124,1567270554619,
Harceuzpk,359,75,1567270605101,
Vesaris,424,126,1567270675989,
disp30,377,32,1567270695088,
Fe Narcotic,305,71,1567270704808,
RyzosMain,519,98,1567270939468,
ironsk1ll,341,110,1567270951781,
IronPunish3r,491,97,1567270958444,
IronPunish3r,491,97,1567270959878,
ThsYrFknBsh,305,73,1567270988461,
Venkat,377,91,1567270993326,
Venkat,377,91,1567270994689,
AloysiusRS,362,85,1567271183714,
Trinos4,302,61,1567271189126,
BAD BOTTYYYY,302,91,1567271189138,
Trinos4,302,61,1567271190606,
BAD BOTTYYYY,302,91,1567271190618,
WG Wessoxx,315,122,1567271301989,
disp30,352,32,1567271383365,
LChevy3,330,98,1567271388822,
LChevy3,330,98,1567271390607,
Bybin Cvekas,330,101,1567271390619,
PURE-PK-REVE,395,31,1567271397250,
PURE-PK-REVE,395,31,1567271399226,
LChevy3,331,98,1567271415369,
Bybin Cvekas,331,101,1567271415382,
TyhrPK,354,78,1567271572615,
T4Z,357,96,1567271578491,
Vigorized,357,90,1567271578503,
T4Z,357,96,1567271580192,
Vigorized,357,90,1567271580195,
haands,519,73,1567272010974,
disp30,309,32,1567272075471,
haands,333,73,1567273106167,
Remedial,521,111,1567290275268,
Telenetslet,519,60,1567290777518,
xXDeat_pkXx,315,67,1567292907552,
Blu Boiz,314,25,1567293499243,
SonOfGOD39,318,62,1567293747369,
keilyn_2305,318,79,1567293747381,
Kyrexx,318,103,1567293747383,
AZT_GIRD,318,83,1567293747395,
armouring,318,91,1567293747412,
Festus Mac,318,119,1567293901445,
Zeldris 2019,446,54,1567294003267,
4hamster,491,87,1567295921627,
BRK A,312,108,1567296678283,
stix 96,444,75,1567297525832,
zotte frix,446,90,1567297698697,
zotte frix,304,90,1567297915510,
WAIRUS BOB3,444,124,1567389474611,
32af,347,109,1567390081300,
WAIRUS BOB3,389,124,1567390206453,
Reyferm,494,77,1567390570504,
CentralFL,360,102,1567392026533,
mike tais,350,49,1567392146935,
codsucks121,342,31,1567392157595,
EL PATRON 00,321,71,1567392594035,
Starblade103,362,89,1567392924901,
1ndica Badu,329,82,1567394350344,
PRodriguez58,496,103,1567631865628,
SpicyTonk,514,100,1567632381186,
Kingbeer101,378,123,1567632816334,
xyullxk233,521,92,1567633564321,
07 nice jake,375,96,1567799933977,
FirstOnly,356,116,1567799941202,
kronicjake23,370,64,1567799997125,
Torvnesta,520,126,1567800038266,
MegTollak,321,77,1567800116151,
07 nice jake,339,96,1567800176079,
Roostyyy,368,111,1567800200144,
Penguin xo,344,82,1567800207916,
Zeddeh,395,92,1567800236434,
07 nice jake,357,96,1567800291817,
Me Why Me,375,79,1567800369909,
I TBed Sir,336,30,1567800374953,
